Time,Unnamed: 1,Open,High,Low,Close,Volume
1999.01.04,00:00,1.1801,1.1862,1.1769,1.1815,3858
1999.01.05,00:00,1.1815,1.1835,1.175,1.1758,4793
1999.01.06,00:00,1.1761,1.1773,1.1553,1.1623,4828
1999.01.07,00:00,1.1623,1.1735,1.1612,1.1712,5076
1999.01.08,00:00,1.1713,1.172,1.1533,1.1585,5120
1999.01.11,00:00,1.1575,1.161,1.1487,1.1503,4960
1999.01.12,00:00,1.1504,1.158,1.1447,1.1555,5248
1999.01.13,00:00,1.1561,1.179,1.1553,1.1681,6623
1999.01.14,00:00,1.1673,1.1728,1.1614,1.1681,5472
1999.01.15,00:00,1.1683,1.1749,1.1552,1.1563,6529
1999.01.18,00:00,1.1565,1.162,1.1564,1.1605,4054
1999.01.19,00:00,1.1605,1.1642,1.1563,1.1603,5595
1999.01.20,00:00,1.1598,1.1611,1.1539,1.1566,5736
1999.01.21,00:00,1.1567,1.1619,1.1545,1.1601,5230
1999.01.22,00:00,1.1605,1.1626,1.1559,1.1587,4559
1999.01.25,00:00,1.1579,1.1608,1.1547,1.1552,3774
1999.01.26,00:00,1.1555,1.1591,1.155,1.1562,5465
1999.01.27,00:00,1.1562,1.1565,1.1408,1.144,5975
1999.01.28,00:00,1.1445,1.147,1.1378,1.1407,5187
1999.01.29,00:00,1.1407,1.1433,1.1342,1.1367,5926
1999.02.01,00:00,1.1382,1.1397,1.129,1.1323,5667
1999.02.02,00:00,1.1323,1.1365,1.1284,1.1352,5793
1999.02.03,00:00,1.1353,1.1363,1.13,1.1306,4360
1999.02.04,00:00,1.1309,1.1346,1.1247,1.1344,5404
1999.02.05,00:00,1.1343,1.1373,1.1253,1.126,4947
1999.02.08,00:00,1.1262,1.133,1.122,1.1315,4235
1999.02.09,00:00,1.1312,1.1345,1.1281,1.1315,4448
1999.02.10,00:00,1.1314,1.136,1.127,1.1326,4774
1999.02.11,00:00,1.1323,1.1336,1.1214,1.1218,4279
1999.02.12,00:00,1.1219,1.1308,1.1216,1.1306,4153
1999.02.15,00:00,1.1299,1.1304,1.1221,1.1224,3527
1999.02.16,00:00,1.1227,1.1238,1.1158,1.1211,4427
1999.02.17,00:00,1.1212,1.1267,1.12,1.1247,3767
1999.02.18,00:00,1.1246,1.128,1.1185,1.1198,4116
1999.02.19,00:00,1.1197,1.1211,1.1055,1.1058,4755
1999.02.22,00:00,1.1052,1.1064,1.0962,1.1023,4426
1999.02.23,00:00,1.1024,1.107,1.0941,1.1009,4178
1999.02.24,00:00,1.1009,1.1047,1.0926,1.1005,4638
1999.02.25,00:00,1.1004,1.1079,1.0983,1.1033,4590
1999.02.26,00:00,1.1026,1.1047,1.0955,1.1025,5065
1999.03.01,00:00,1.0988,1.1025,1.0884,1.0898,5631
1999.03.02,00:00,1.0896,1.0947,1.0857,1.0942,4575
1999.03.03,00:00,1.0941,1.0946,1.0869,1.0872,4857
1999.03.04,00:00,1.087,1.088,1.079,1.0805,4803
1999.03.05,00:00,1.0806,1.0867,1.0786,1.0818,3932
1999.03.08,00:00,1.0821,1.0925,1.0802,1.0887,4472
1999.03.09,00:00,1.0887,1.092,1.0857,1.089,4813
1999.03.10,00:00,1.0888,1.0975,1.0877,1.0943,5010
1999.03.11,00:00,1.0943,1.1057,1.0798,1.1037,5807
1999.03.12,00:00,1.1038,1.1041,1.0892,1.0905,5392
1999.03.15,00:00,1.0909,1.0961,1.0885,1.0923,3929
1999.03.16,00:00,1.0922,1.102,1.0819,1.1012,4193
1999.03.17,00:00,1.1006,1.1045,1.0937,1.1007,5054
1999.03.18,00:00,1.1009,1.107,1.0957,1.0973,5362
1999.03.19,00:00,1.0973,1.1001,1.0877,1.0889,4663
1999.03.22,00:00,1.0909,1.092,1.0852,1.0916,4385
1999.03.23,00:00,1.0914,1.0927,1.086,1.0889,4761
1999.03.24,00:00,1.089,1.0962,1.0865,1.0882,4746
1999.03.25,00:00,1.0875,1.0909,1.0826,1.0834,4342
1999.03.26,00:00,1.0835,1.0868,1.0715,1.0765,4987
1999.03.29,00:00,1.0752,1.079,1.068,1.0731,4312
1999.03.30,00:00,1.073,1.0775,1.0697,1.072,3564
1999.03.31,00:00,1.0722,1.0822,1.0686,1.0769,4767
1999.04.01,00:00,1.0763,1.0823,1.0727,1.0795,4366
